tract_fips10,year,population,aland10,count_445110,count_sales_445110,count_emp_445110,popden_445110,popden_sales_445110,popden_emp_445110,aden_445110,aden_sales_445110,aden_emp_445110
37001020901,2015,3824,3.042468,1,1,1,0.2615063,0.2615063,0.2615063,0.3286805,0.3286805,0.3286805
37001020901,2017,3824,3.042468,1,1,1,0.2615063,0.2615063,0.2615063,0.3286805,0.3286805,0.3286805
37001020902,2013,3490,3.959024,0,0,0,0,0,0,0,0,0
37001020902,2014,3490,3.959024,0,0,0,0,0,0,0,0,0
37001020902,2015,3490,3.959024,0,0,0,0,0,0,0,0,0
37001020902,2017,3490,3.959024,0,0,0,0,0,0,0,0,0
37001021000,2013,3468,1.293445,0,0,0,0,0,0,0,0,0
37001021000,2014,3468,1.293445,0,0,0,0,0,0,0,0,0
37001021000,2015,3468,1.293445,0,0,0,0,0,0,0,0,0
37001021000,2017,3468,1.293445,1,1,1,0.2883506,0.2883506,0.2883506,0.7731294,0.7731294,0.7731294
37001021101,2013,2486,3.118797,2,2,2,0.8045052,0.8045052,0.8045052,0.6412728,0.6412728,0.6412728
37001021101,2014,2486,3.118797,2,2,2,0.8045052,0.8045052,0.8045052,0.6412728,0.6412728,0.6412728
37001021101,2015,2486,3.118797,2,2,2,0.8045052,0.8045052,0.8045052,0.6412728,0.6412728,0.6412728
37001021101,2017,2486,3.118797,1,1,1,0.4022526,0.4022526,0.4022526,0.3206364,0.3206364,0.3206364
37001021102,2013,3378,4.16158,2,2,2,0.5920663,0.5920663,0.5920663,0.4805867,0.4805867,0.4805867
37001021102,2014,3378,4.16158,2,2,2,0.5920663,0.5920663,0.5920663,0.4805867,0.4805867,0.4805867
37001021102,2015,3378,4.16158,2,2,2,0.5920663,0.5920663,0.5920663,0.4805867,0.4805867,0.4805867
37001021102,2017,3378,4.16158,2,2,2,0.5920663,0.5920663,0.5920663,0.4805867,0.4805867,0.4805867
37001021201,2013,5218,13.55623,6,6,5,1.149866,1.149866,0.9582216,0.442601,0.442601,0.3688341
37001021201,2014,5218,13.55623,7,7,6,1.34151,1.34151,1.149866,0.5163678,0.5163678,0.442601
